"ISO3_code_Year","Country","FUBC_N_P2O5_K2O_1000_t","IFASTAT_N_P2O5_K2O_1000_t","pc_difference_N_P2O5_K2O","FUBC_N_1000_t","IFASTAT_N_1000_t","pc_difference_N","FUBC_P2O5_1000_t","IFASTAT_P2O5_1000_t","pc_difference_P2O5","FUBC_K2O_1000_t","IFASTAT_K2O_1000_t","pc_difference_K2O"
"ARG _ 2018","Argentina",1882,1882,0,1154,1154,0,681,681,0,47,47,-1
"AUS _ 2018","Australia",2493,2433,2,1262,1242,2,957,910,5,273,281,-3
"AUT _ 2018","Austria",176,170,4,112,106,6,29,31,-7,35,32,8
"BEL _ 2018","Belgium",152,268,-43,88,188,-53,20,20,0,61,60,2
"BGD _ 2018","Bangladesh",2446,2446,0,1321,1321,0,680,680,0,444,444,0
"BGR _ 2018","Bulgaria",456,583,-22,349,383,-9,70,165,-58,37,35,5
"BLR _ 2018","Belarus",892,892,0,405,405,0,105,105,0,383,383,0
"BRA _ 2018","Brazil",15798,15507,2,4389,4287,2,5269,5157,2,6140,6064,1
"CAN _ 2019","Canada",4172,4793,-13,2612,2857,-9,1138,1207,-6,421,729,-42
"CHL _ 2018","Chile",499,447,12,245,213,15,143,133,7,111,101,11
"CHN _ 2018","China",61937,45748,35,30472,24376,25,18003,12029,50,13462,9344,44
"CYP _ 2018","Cyprus",8,14,-46,4,6,-32,2,5,-65,2,3,-39
"CZE _ 2018","Czech Republic",441,421,5,355,339,5,53,55,-4,34,27,24
"DEU _ 2018","Germany",2156,1953,10,1522,1342,13,218,201,8,415,410,1
"DNK _ 2018","Denmark",322,306,5,225,220,2,33,35,-7,65,51,28
"EGY _ 2019","Egypt",1593,1692,-6,1245,1294,-4,223,292,-24,125,106,18
"ESP _ 2018","Spain",1891,1882,1,1073,1054,2,423,449,-6,395,378,4
"EST _ 2018","Estonia",87,94,-8,55,61,-9,12,14,-11,20,20,-1
"FIN _ 2018","Finland",200,213,-6,140,149,-6,22,24,-8,38,40,-5
"FRA _ 2018","France",3116,3059,2,2243,2168,3,426,433,-2,447,458,-2
"GBR _ 2018","United Kingdom of Great Britain and Northern Ireland",1482,1491,-1,1031,1038,-1,189,186,1,263,267,-1
"GRC _ 2018","Greece",274,276,-1,178,180,-1,50,52,-4,46,44,4
"HRV _ 2018","Croatia",157,194,-19,102,130,-21,27,32,-13,27,33,-18
"HUN _ 2018","Hungary",554,568,-2,393,412,-5,80,76,6,80,80,0
"IDN _ 2018","Indonesia",7125,7202,-1,3594,3554,1,1258,1358,-7,2273,2290,-1
"IND _ 2018","India",27228,27228,0,17638,17638,0,6910,6910,0,2680,2680,0
"IRL _ 2018","Ireland",656,660,-1,408,410,0,105,105,1,142,145,-2
"IRN _ 2018","Iran (Islamic Republic of)",1086,1088,0,958,959,0,97,97,0,31,32,-5
"ISR _ 2018","Israel",87,89,-2,48,47,1,10,6,81,29,36,-21
"ITA _ 2018","Italy",879,876,0,599,595,1,165,167,-1,115,114,1
"JPN _ 2019","Japan",977,934,5,369,357,3,338,326,4,270,250,8
"LTU _ 2018","Lithuania",278,289,-4,170,174,-2,48,53,-8,60,62,-4
"LVA _ 2018","Latvia",180,168,7,116,104,12,23,31,-26,41,33,22
"MAR _ 2019","Morocco",434,388,12,211,186,14,132,121,10,90,82,10
"MEX _ 2018","Mexico",2296,2262,2,1500,1467,2,506,506,0,290,289,0
"MLI _ 2017","Mali",256,316,-19,148,188,-22,66,72,-8,45,56,-19
"MMR _ 2017","Myanmar",465,465,0,182,297,-39,120,114,5,163,53,205
"MYS _ 2018","Malaysia",2163,2176,-1,495,497,0,237,240,-1,1431,1440,-1
"NGA _ 2017","Nigeria",519,734,-29,352,453,-22,85,145,-41,82,136,-40
"NLD _ 2018","Netherlands",264,231,14,215,172,25,13,9,50,36,50,-28
"NOR _ 2017","Norway",161,163,-2,101,102,-1,20,21,-5,40,40,-1
"NZL _ 2017","New Zealand",782,952,-18,360,458,-21,296,339,-13,126,155,-18
"PAK _ 2018","Pakistan",4557,4615,-1,3351,3408,-2,1152,1153,0,54,53,2
"PER _ 2018","Peru",472,472,0,260,260,0,118,118,0,94,94,0
"PHL _ 2018","Philippines",961,1034,-7,622,668,-7,185,174,6,153,192,-20
"POL _ 2018","Poland",2077,1906,9,1179,994,19,339,344,-1,559,568,-2
"PRT _ 2018","Portugal",127,127,0,69,71,-2,31,30,3,27,26,5
"PRY _ 2018","Paraguay",482,296,63,91,85,7,243,129,89,161,83,95
"ROU _ 2018","Romania",964,1042,-8,612,665,-8,267,310,-14,84,67,25
"RUS _ 2018","Russian Federation",3219,3547,-9,2197,2203,0,685,809,-15,338,534,-37
"SEN _ 2018","Senegal",88,51,72,54,35,52,21,11,89,14,5,166
"SVK _ 2018","Slovakia",173,204,-15,128,155,-18,29,27,6,17,21,-21
"SVN _ 2018","Slovenia",43,39,12,25,22,14,8,9,-4,10,8,25
"SWE _ 2018","Sweden",233,245,-5,170,183,-7,34,29,16,29,33,-12
"THA _ 2018","Thailand",2650,2264,17,1540,1206,28,477,432,10,632,626,1
"TUR _ 2018","Turkey",2918,2184,34,1924,1548,24,853,520,64,140,116,21
"TZA _ 2016","United Republic of Tanzania",112,148,-24,91,98,-8,19,41,-53,2,9,-76
"UKR _ 2018","Ukraine",2151,2096,3,1436,1480,-3,350,302,16,364,314,16
"URY _ 2018","Uruguay",300,384,-22,106,114,-7,145,113,28,48,157,-69
"USA _ 2019","United States of America",19684,20359,-3,11347,11729,-3,3932,4076,-4,4405,4554,-3
"VNM _ 2018","Viet Nam",2928,2940,0,1602,1610,-1,821,821,0,506,508,0
"ZAF _ 2018","South Africa",763,762,0,381,381,0,249,249,0,132,132,0
